frase,autor
Tenemos un alma inmortal,Platón
La mayor riqueza es vivir contento con poco,Platón
El conocimiento verdadero es saber que no sabes nada,Platón
La música es para el alma lo que la gimnasia para el cuerpo,Platón
La ignorancia es la semilla de todos los males,Platón
El amor es el impulso de buscar la belleza,Platón
La justicia consiste en el equilibrio del alma,Platón
Solo los muertos han visto el final de la guerra,Platón
El alma del filósofo se separa del cuerpo para contemplar la verdad,Platón
El comienzo es la parte más importante del trabajo,Platón
El alma nunca piensa sin una imagen,Aristóteles
La amistad es un alma que habita en dos cuerpos,Aristóteles
La inteligencia consiste no solo en el conocimiento, sino también en la destreza de aplicar los conocimientos a la práctica,Aristóteles
La felicidad depende de nosotros mismos,Aristóteles
La virtud es el punto medio entre dos extremos,Aristóteles
Sin música, la vida sería un error,Nietzsche
Lo que no me mata, me hace más fuerte,Nietzsche
Dios ha muerto,Nietzsche
El que tiene un porqué para vivir puede soportar casi cualquier cómo,Nietzsche
El amor es ciego; la amistad cierra sus ojos,Nietzsche
El hombre está condenado a ser libre,Sartre
El infierno son los otros,Sartre
No somos otra cosa que el conjunto de nuestros actos,Sartre
La existencia precede a la esencia,Sartre
Somos lo que hacemos con lo que hicieron de nosotros,Sartre
La razón pura no puede probar la existencia de Dios,Kant
Obra de tal modo que trates a la humanidad como un fin y nunca como un medio,Kant
La experiencia sin teoría es ciega, pero la teoría sin experiencia es mero juego intelectual,Kant
El sabio puede cambiar de opinión. El necio, nunca,Kant
El cielo estrellado sobre mí y la ley moral dentro de mí,Kant
